7013460,GB,PREES,525357N,024122W,7018050,GB,"ALFRETON MANSFIELD PARKWAY",530650N,011444W,0
7018610,GB,"SUTTON PARKWAY",530650N,011443W,7018050,GB,"ALFRETON MANSFIELD PARKWAY",530650N,011444W,1
7018610,GB,"SUTTON PARKWAY",530650N,011443W,7029250,GB,SHAW,532611N,024533W,0
7022640,GB,"THATTO HEATH",532612N,024533W,7029250,GB,SHAW,532611N,024533W,1
7022640,GB,"THATTO HEATH",532612N,024533W,7029220,GB,MILNROW,533759N,020648W,0
7026600,GB,"SMITHY BRIDGE",533756N,020652W,7029220,GB,MILNROW,533759N,020648W,1
7026600,GB,"SMITHY BRIDGE",533756N,020652W,7054660,GB,"ASHFORD INTL",510836N,005229E,0
7050040,GB,"Ashford(Kent) Int.",510836N,005230E,7054660,GB,"ASHFORD INTL",510836N,005229E,1
7050040,GB,"Ashford(Kent) Int.",510836N,005230E,7055980,GB,"LONDRES WATERLOO DOM",513016N,000509W,0
7051580,GB,"London Waterloo-East",513014N,000632W,7055980,GB,"LONDRES WATERLOO DOM",513016N,000509W,1
7051580,GB,"London Waterloo-East",513014N,000632W,7052300,GB,"TUNBRIDGE WELLS CENTRAL",510424N,001847E,0
7052310,GB,WADHURST,510424N,001846E,7052300,GB,"TUNBRIDGE WELLS CENTRAL",510424N,001847E,1
7052310,GB,WADHURST,510424N,001846E,7051300,GB,"BOROUGH GREEN",512825N,000326W,0
7054240,GB,"QUEENS ROAD PECKHAM",512824N,000326W,7051300,GB,"BOROUGH GREEN",512825N,000326W,1
7054240,GB,"QUEENS ROAD PECKHAM",512824N,000326W,7015440,GB,"EBBSFLEET INT",512634N,001915E,0
7055660,GB,"Ebbsfleet Internatio",512634N,001915E,7015440,GB,"EBBSFLEET INT",512634N,001915E,1
7055660,GB,"Ebbsfleet Internatio",512634N,001915E,7050040,GB,ASHFORD,512611N,002805W,0
7056670,GB,"ASHFORD SURREY",512611N,002804W,7050040,GB,ASHFORD,512611N,002805W,1
7056670,GB,"ASHFORD SURREY",512611N,002804W,7090390,GB,"DUNDEE TAY BRIDGE",562723N,030326W,0
7087780,GB,INVERGOWRIE,562722N,030329W,7090390,GB,"DUNDEE TAY BRIDGE",562723N,030326W,1
7087780,GB,INVERGOWRIE,562722N,030329W,7096830,GB,PAISLEY,555107N,042632W,0
7096640,GB,"Paisley St James",555107N,042633W,7096830,GB,PAISLEY,555107N,042632W,1
7096640,GB,"Paisley St James",555107N,042633W,7150300,ES,"LINARES BAEZA",380407N,033521W,0
7110503,ES,"VALDESTILLAS APT",412920N,044621W,7150300,ES,"LINARES BAEZA",380407N,033521W,1
7110503,ES,"VALDESTILLAS APT",412920N,044621W,7111100,ES,BURGOS,392808N,002400W,0
