uic_1,country_1,name_1,lon_1,lat_1,uic_2,country_2,name_2,lon_2,lat_2,match
80G0101,DE,"Bad Saarow-Pieskow S",521614N,140350E,8003293,DE,"Bad Saarow-Pieskow",521735N,140353E,1
80G0101,DE,"Bad Saarow-Pieskow S",521614N,140350E,8079919,DE,"Bad Salzig (Schiff)",501227N,073803E,0
80G2529,DE,"Bad Salzig (Schiff)",501227N,073803E,8079919,DE,"Bad Salzig (Schiff)",501227N,073803E,1
80G2529,DE,"Bad Salzig (Schiff)",501227N,073803E,8047221,DE,"Bad Segeberg(Holst)",535601N,101829E,0
80G2435,DE,"Bad Segeberg(Holst)",535601N,101829E,8047221,DE,"Bad Segeberg(Holst)",535601N,101829E,1
80G2435,DE,"Bad Segeberg(Holst)",535601N,101829E,8050642,DE,"Bad St. Peter Süd",541818N,083852E,0
8000754,DE,"Bad St. Peter Süd",541818N,083852E,8050642,DE,"Bad St. Peter Süd",541818N,083852E,1
8000754,DE,"Bad St. Peter Süd",541818N,083852E,1100424,DE,"Bad Säckingen Basler Str.",473314N,075555E,0
11G0366,DE,"Bad Säckingen Basler Str.",473314N,075555E,1100424,DE,"Bad Säckingen Basler Str.",473314N,075555E,1
11G0366,DE,"Bad Säckingen Basler Str.",473314N,075555E,1100427,DE,"Bad Säckingen Bündtenstr.",473418N,075446E,0
11G0369,DE,"Bad Säckingen Bündtenstr.",473418N,075446E,1100427,DE,"Bad Säckingen Bündtenstr.",473418N,075446E,1
