uic_1,country_1,name_1,lon_1,lat_1,uic_2,country_2,name_2,lon_2,lat_2,match
2006007,RU,"Moskva Oktiabrskaia",554638N,373915E,2006007,RU,"MOSKVA OKTIABRSKAIA",554633N,373919E,1
2006007,RU,"Moskva Oktiabrskaia",554638N,373915E,2006150,RU,TVER,565007N,355331E,0
2006150,RU,Tver,565129N,355442E,2006150,RU,TVER,565007N,355331E,1
2006150,RU,Tver,565129N,355442E,2006270,RU,"VYSHNII VOLOCHEK",573600N,343334E,0
2006270,RU,"VYSHNII VOLOCHEK",573600N,343334E,2006270,RU,"VYSHNII VOLOCHEK",573600N,343334E,1
2006270,RU,"VYSHNII VOLOCHEK",573600N,343334E,5118853,RU,OSTROW,513856N,174819E,0
2007020,RU,OSTROW,572031N,282012E,5118853,RU,OSTROW,513856N,174819E,1
2007020,RU,OSTROW,572031N,282012E,2010009,RU,KALININGRAD,544146N,202958E,0
2010001,RU,Kaliningrad,544136N,202955E,2010009,RU,KALININGRAD,544146N,202958E,1
2010001,RU,Kaliningrad,544136N,202955E,2010050,RU,NESTEROV,543739N,223442E,0
2010050,RU,Nesterov,543742N,223439E,2010050,RU,NESTEROV,543739N,223442E,1
2010050,RU,Nesterov,543742N,223439E,2010070,RU,GUSEV,543503N,221152E,0
2010070,RU,Gusev,543504N,221153E,2010070,RU,GUSEV,543503N,221152E,1
2010070,RU,Gusev,543504N,221153E,2010080,RU,CHERNIAHOVSK,543743N,214905E,0
2010080,RU,Cherniahovsk,543742N,214907E,2010080,RU,CHERNIAHOVSK,543743N,214905E,1
2010080,RU,Cherniahovsk,543742N,214907E,2010180,RU,GVARDEISK,543808N,210409E,0
2010180,RU,Gvardeisk,543808N,210408E,2010180,RU,GVARDEISK,543808N,210409E,1
2010180,RU,Gvardeisk,543808N,210408E,2010270,RU,MAMONOVO,542750N,195629E,0
2010270,RU,Mamonovo,542750N,195629E,2010270,RU,MAMONOVO,542750N,195629E,1
2010270,RU,Mamonovo,542750N,195629E,2017010,RU,SMOLENSK,544752N,320206E,0
2017010,RU,Smolensk,544754N,320204E,2017010,RU,SMOLENSK,544752N,320206E,1
2017010,RU,Smolensk,544754N,320204E,2017430,RU,VIAZMA,551155N,341904E,0
2017430,RU,Wjasma,551150N,341903E,2017430,RU,VIAZMA,551155N,341904E,1
2017430,RU,Wjasma,551150N,341903E,2019160,RU,"MOSKVA KURSKAIA GARE",554526N,373937E,0
2019160,RU,"Moskva Kurskaja",554526N,373944E,2019160,RU,"MOSKVA KURSKAIA GARE",554526N,373937E,1
2019160,RU,"Moskva Kurskaja",554526N,373944E,2019401,RU,MOSKVA-PAS-KAZANSKAIA,000000N,000000E,0
2019401,RU,"Moskva Kasanskaja",554626N,373934E,2019401,RU,MOSKVA-PAS-KAZANSKAIA,000000N,000000E,1
2019401,RU,"Moskva Kasanskaja",554626N,373934E,2019550,RU,"MOSKA IAROSLAVSK",554635N,373926E,0
2019550,RU,"MOSKA IAROSLAVSK",554635N,373926E,2019550,RU,"MOSKA IAROSLAVSK",554635N,373926E,1
2019550,RU,"MOSKA IAROSLAVSK",554635N,373926E,2019604,RU,MOSKVA,541156N,373442E,0
2019604,RU,MOSKVA,554724N,373516E,2019604,RU,MOSKVA,541156N,373442E,1
2019604,RU,MOSKVA,554724N,373516E,2019610,RU,MOSKVA-RIJSKAIA,000000N,000000E,0
2019610,RU,"Moskva Rijskaja",554736N,373755E,2019610,RU,MOSKVA-RIJSKAIA,000000N,000000E,1
2019610,RU,"Moskva Rijskaja",554736N,373755E,2019820,RU,"MOSKVA SMOLENSKAYA",554452N,373501E,0
